Quantity Sold (units),Product Category,Month,Average Temperature (¡C),Monthly Precipitation (mm),Route (ID),Route Distance (km),Average Transit Time (hrs),Cost per Kilometer ($),Traffic Conditions
452,Refrigerated,1,22.04,14.11,8,40.49,1.2,13.83,High
481,Refrigerated,1,15.77,4.75,4,22.29,1.78,11.64,Moderate
516,Refrigerated,1,17.88,93.03,6,44.16,3.62,13.45,Low
478,Fresh,1,20.77,27.74,7,30.33,1.29,8.42,Low
532,Refrigerated,1,18.73,3.6,7,5.54,3.09,8.53,Low
592,Fresh,1,21.65,35.61,10,8.03,4.88,14.66,Moderate
568,Fresh,1,22.09,88.92,4,37.15,3.08,12.95,Moderate
567,Refrigerated,1,33.83,4.41,9,15.81,2.86,14.64,Low
493,Fresh,1,19.18,4.57,8,49.86,2.12,10.58,Low
578,Refrigerated,1,25.67,36.55,2,25.79,4.9,10.13,Moderate
489,Refrigerated,1,22.46,28.04,3,19.91,1.13,12.92,High
565,Fresh,1,16.26,41.18,9,36.05,4.86,10.9,Low
470,Fresh,1,15.87,94.73,2,25.09,4.71,13.05,Low
468,Refrigerated,1,18.31,37.97,4,43.75,3.12,14.86,Low
513,Fresh,1,15.89,40.91,10,26.2,2.7,10.71,Low
537,Refrigerated,1,27.95,54.68,10,9.96,4.79,13.2,Moderate
595,Refrigerated,1,26.55,78.32,10,13.23,1.76,9.4,Moderate
452,Fresh,1,33.52,75.68,10,7.7,4.67,8.13,Low
452,Fresh,1,30.37,50.53,2,21.13,4.96,10.21,High
529,Fresh,1,28.25,55.28,5,15.93,2.14,9.33,Moderate
544,Fresh,1,22.46,82.62,1,40.08,4.23,13.45,Moderate
459,Refrigerated,1,27.32,84.68,10,13.98,3.96,13.22,Moderate
523,Fresh,1,18.52,90.45,8,26.2,4.74,14.66,Low
567,Fresh,1,27.81,40.65,9,34.5,3.01,9.21,Low
572,Fresh,1,18.64,50.32,7,45.37,1.58,13.67,Moderate
514,Fresh,1,24.44,1.21,2,43,2.57,8.59,Moderate
475,Refrigerated,1,19.57,84.53,8,19.27,4.2,8.43,High
565,Fresh,1,19.24,50.11,6,34.3,1.9,14.08,High
598,Fresh,1,24.83,73.36,10,31.42,3.42,13.7,Moderate
549,Fresh,1,31.72,86.41,6,29,3.25,14.2,Moderate
483,Fresh,1,27.13,48.65,5,45,2.2,13.35,Low
496,Refrigerated,1,17.8,62.09,7,5.35,2.58,8.87,Low
550,Fresh,1,33.49,99.32,1,22.31,1.8,9.63,Low
532,Refrigerated,1,20.44,81.25,4,48.65,2.68,13.13,Low
527,Fresh,1,29.9,75.84,9,42.46,3.18,9.41,Low
545,Refrigerated,1,23.83,17.55,6,31.89,2.22,10.66,Moderate
595,Refrigerated,1,32.9,0.48,3,40.32,2.62,12.26,Moderate
579,Fresh,1,32.43,75.85,4,44.87,3.9,12.96,Low
528,Refrigerated,1,25.1,20.61,3,37.12,3.09,9.93,Moderate
542,Refrigerated,1,18.19,59.22,2,14.57,3.26,11.62,High
543,Fresh,1,16.66,6.08,3,5.2,4.69,8.97,Moderate
554,Fresh,1,15.65,46.93,7,10.83,3.57,9.64,Moderate
546,Refrigerated,1,34.55,74.25,8,39.5,3.89,14.02,Moderate
536,Refrigerated,1,22.81,8.12,9,33.38,3.78,9.6,Moderate
539,Fresh,1,30.95,41.31,10,12.57,1.32,13.45,Low
523,Refrigerated,1,25.2,76.84,8,10.97,4.66,11.85,Low
563,Refrigerated,1,27.78,88.61,3,28.46,2.5,14.32,Low
490,Fresh,1,15.09,85.05,9,39.13,3.36,8.57,Moderate
471,Fresh,1,33.32,77.46,3,44.7,1.48,14.54,Moderate
472,Refrigerated,1,30.12,70.95,7,13.68,2.68,8.62,High
505,Fresh,1,33.67,35.15,2,8.75,1.5,13.91,High
526,Refrigerated,1,16.54,13.86,4,44.17,2.99,9.35,Low
538,Refrigerated,1,18.29,23.46,10,6.93,3.63,10.2,Moderate
597,Fresh,1,27.35,4.09,5,16.19,3.19,9.23,Moderate
463,Refrigerated,1,32.07,16.43,5,17.97,1.04,11.59,Low
562,Fresh,1,26.5,49.11,9,48.39,3.17,14.74,Moderate
569,Fresh,1,26.53,65.52,4,43.85,2.23,9.42,Moderate
573,Fresh,1,28.77,0.59,3,40.89,4.03,13.49,Low
456,Refrigerated,1,34.22,96.69,9,42.41,2.54,13.5,High
450,Fresh,1,30.27,29.55,6,21.5,2.48,12.27,Moderate
453,Fresh,1,25.13,90.86,10,18.43,4.58,13.32,Low
475,Fresh,1,26.4,43.79,9,43.62,4.99,12.01,Low
557,Fresh,1,28.22,9.73,9,46.13,2.5,14.03,Moderate
572,Fresh,1,16.26,55.64,5,23.06,3.81,12.13,Low
480,Fresh,1,29.65,74.24,1,7.13,1.16,9.4,Low
531,Refrigerated,1,27.21,57.44,9,31.42,2.03,12.1,Moderate
469,Refrigerated,1,16.52,82.86,10,27.3,4.73,10.57,Low
543,Fresh,1,31.41,42.43,5,36.47,4.77,12.08,Low
505,Fresh,1,18.52,1.23,4,9.23,3.16,12.29,Moderate
540,Fresh,1,16.44,7.86,4,16.84,1.91,12.52,Moderate
472,Fresh,1,27.9,21.63,2,30.35,4.29,14.53,Moderate
470,Refrigerated,1,25.7,61.78,7,43.32,2.75,13.64,Low
502,Refrigerated,1,33.32,92.1,2,47.64,1.51,12.06,Low
578,Fresh,1,24.32,47.35,6,35.19,3.99,10.06,Low
578,Fresh,1,23.38,26.36,5,11.22,1.63,14.88,High
514,Fresh,1,15.6,73.4,5,49.17,4.69,10.59,Moderate
504,Refrigerated,1,28.45,20.53,6,48.73,4.4,13.53,High
528,Refrigerated,1,31.42,46.73,10,9.89,3.88,13.41,Moderate
545,Fresh,1,33.75,41.73,4,36.16,4.43,8.34,Moderate
575,Refrigerated,1,34.65,45.76,3,25.6,1.84,13.51,Low
492,Refrigerated,1,22.86,76.22,9,44.77,2.98,9.82,Moderate
455,Fresh,1,19.69,72.2,9,26.85,1.53,10.11,Low
530,Refrigerated,1,25.51,87.84,7,14.05,1.7,9.63,Moderate
510,Fresh,1,28.98,35.94,9,23.01,2.99,12.21,Moderate
569,Fresh,1,29.8,86.42,10,13.53,2.09,11.83,Low
586,Fresh,1,24.02,36.04,2,41.92,3.44,11.79,Low
505,Fresh,1,24.39,84.65,1,39.07,1.7,8.6,Low
526,Refrigerated,1,21.58,57.76,1,12.23,3.33,11.54,High
451,Fresh,1,34.73,80.26,9,16.41,4.01,8.68,Low
552,Fresh,1,33.01,29.05,2,14.63,1.23,13.34,High
575,Refrigerated,1,34.77,1.39,4,13.69,4.14,10.78,Moderate
590,Fresh,1,34.72,63.55,1,39.5,4.08,14.12,Moderate
539,Fresh,1,26.69,14.83,10,16.53,4.89,13.79,Moderate
518,Refrigerated,1,26.84,78.22,8,18.47,3.47,14.08,Moderate
502,Fresh,1,24.58,18.26,10,38.85,1.31,14.25,Low
460,Fresh,1,27.41,44.16,6,15.49,2.59,14.08,Low
524,Fresh,1,17.03,51.75,9,33.55,3.24,10.19,Moderate
582,Refrigerated,1,24.54,95.86,2,21.87,4.42,12.65,Low
469,Fresh,1,28.96,84.77,1,49.33,4.97,9.18,Moderate
584,Refrigerated,1,20.45,98.07,4,39.13,1.73,12.34,Moderate
537,Refrigerated,1,26.21,18.11,7,25.92,1.39,10.2,Moderate
542,Fresh,1,33.3,97.15,8,28.96,3.26,12.11,Moderate
467,Fresh,1,26.98,7.29,8,49.14,2.52,9.69,High
459,Fresh,1,24.56,48.59,5,34.56,1.23,9.71,High
558,Refrigerated,1,16.9,45.5,1,27.72,1.3,8.85,Moderate
505,Refrigerated,1,21.92,2.96,9,11.01,3.37,13.28,Low
577,Refrigerated,1,33.3,58.53,8,20.85,4.25,13.68,Low
454,Fresh,1,23.78,13.25,1,10.67,2.01,9.22,Moderate
505,Fresh,1,19.71,66.77,8,9.81,2.55,9.73,Moderate
466,Refrigerated,1,29.64,22.83,10,45.04,4.73,9.26,Moderate
499,Fresh,1,25.86,28.25,2,18.42,2.94,9.73,Low
583,Fresh,1,15.65,73.28,4,34.72,3.57,13.23,Moderate
486,Refrigerated,1,23.74,7.25,2,48.58,4.52,12.95,Moderate
522,Fresh,1,25.98,61.16,5,42.13,3.41,14.81,Moderate
578,Refrigerated,1,32.59,31.85,6,26.26,2.51,8.39,Low
470,Fresh,1,18.24,26.74,9,44.17,1.16,8.09,High
576,Refrigerated,1,27.98,0.23,3,27.3,1.56,13.75,Low
470,Refrigerated,1,27,80.78,2,42.8,4.21,9.45,High
583,Fresh,1,34.88,68.56,4,42.5,3.78,13.01,Low
457,Refrigerated,1,34.89,40.1,6,47.7,4.76,9.77,Low
499,Refrigerated,1,28.76,75.38,6,36.56,2.37,9.12,Low
474,Refrigerated,1,21.3,72.66,1,9.04,1.53,13.05,Low
564,Refrigerated,1,31.11,47.66,10,13.68,1.88,8.96,Moderate
526,Fresh,1,30.55,38.09,10,39.15,4.91,11.7,Moderate
587,Fresh,1,26.54,8.63,9,10.34,1.92,9.12,Low
571,Fresh,1,17.29,17.15,5,35.54,1.68,10.35,Low
569,Fresh,1,29.61,37.35,3,47.88,3.29,11.43,Low
540,Refrigerated,1,15.81,7.41,10,34.77,2.75,12.97,High
537,Refrigerated,1,23.47,28.72,7,16.71,2.89,9.43,Low
595,Refrigerated,1,32.73,68.97,5,27.7,3.7,10.29,Low
487,Fresh,1,20.54,83.29,1,41.78,4.24,9.28,Low
549,Fresh,1,34.37,56,4,42.26,1.04,14.76,Low
552,Refrigerated,1,32.7,14.24,9,16.04,3.61,9.94,Low
579,Refrigerated,1,31.93,75.05,1,41.45,1.41,8.26,High
526,Fresh,1,34.41,86.05,4,25.36,4.73,14.76,Moderate
491,Fresh,1,32.71,60.36,2,7.98,4.34,9.21,Low
491,Refrigerated,1,34.58,58.11,4,9.44,1.5,9.46,Low
593,Refrigerated,1,34.72,84.55,5,46.31,4.28,8.36,Low
599,Refrigerated,1,20.99,71.78,7,12.98,4.77,12.23,Moderate
542,Refrigerated,1,26.04,4,5,30.52,4.73,8.16,High
592,Fresh,1,28.71,80.58,7,28.9,2.91,9.66,Moderate
566,Fresh,1,20.93,29.77,2,37.55,1.67,9.8,Low
461,Refrigerated,1,17.41,24.63,1,33.12,4.23,12.6,Moderate
597,Fresh,1,31.78,59.67,1,9.62,4.19,9.25,Moderate
493,Refrigerated,1,27.86,49.7,5,45.22,1.44,14.89,Moderate
515,Fresh,1,34.81,46.81,3,43.79,2.81,10.68,Low
495,Refrigerated,1,34.19,10.55,4,9.82,3.41,12.13,Moderate
513,Fresh,1,18.32,48.27,2,41.89,2.11,14.28,Moderate
505,Refrigerated,1,21.12,42.25,8,41.14,2.98,10.76,Low
458,Refrigerated,1,26.12,3.83,1,7.11,1.47,9.41,Low
580,Refrigerated,1,28.03,80.04,9,45.4,2.54,13.12,Low
467,Fresh,1,32.49,4.71,3,23.38,3.62,11.02,High
486,Fresh,1,31.86,25.39,9,48.33,2.77,11.38,Moderate
506,Refrigerated,1,22.85,80.09,6,5.57,4.49,11.97,High
583,Fresh,1,25.81,64.1,2,30.43,1.49,10.59,Moderate
450,Fresh,1,28.96,84.96,1,17.45,2.65,9.26,Low
575,Refrigerated,1,21.9,70.91,9,21.53,3.29,8.8,Moderate
541,Fresh,1,23.97,85.77,5,29.18,1.31,10.08,High
463,Fresh,1,24.73,97.2,6,13.14,3.84,8.06,Low
507,Fresh,1,29.66,96.42,5,23.2,1.96,13.18,Moderate
596,Fresh,1,34.47,26.11,10,38.07,4.19,13.87,Low
532,Refrigerated,1,23.58,97.24,1,47.5,1.75,11,Low
597,Fresh,1,15.28,66.18,10,37.72,2.72,14.49,Moderate
466,Fresh,1,23.89,7.71,1,10.67,1.12,8.25,Moderate
472,Fresh,1,23.37,54.24,4,11,4.07,8.07,Moderate
516,Refrigerated,1,32.3,50.25,5,12.18,4.77,8.7,Low
451,Refrigerated,1,25.2,57.56,3,48.42,2.98,9.52,Moderate
508,Fresh,1,26.88,16.89,5,26.06,4.13,12.06,Low
480,Fresh,1,33.88,44.11,1,38.42,3.3,9.83,Moderate
528,Fresh,1,32.8,62.94,6,21.07,3.5,12.68,Low
599,Refrigerated,1,16.41,97.28,8,11.59,4,14.62,Low
556,Fresh,1,27.79,45.32,4,39.66,1,9.1,High
523,Fresh,1,15.95,51.96,6,30.37,1.74,12.79,Moderate
558,Refrigerated,1,28.68,37.49,6,45.6,1.54,8.59,High
595,Refrigerated,1,30.47,12.91,9,34.59,1.16,12.87,Moderate
568,Fresh,1,19.37,30.73,4,9.4,4.01,8.86,High
464,Fresh,1,34.65,23.97,4,41.28,4.37,12.92,Low
591,Refrigerated,1,26.84,64.88,5,26.66,3.68,12.23,High
540,Refrigerated,1,27.72,53.34,10,23.42,2.98,11.57,Moderate
578,Fresh,1,22.7,62.67,2,46.1,2.18,13.68,Low
476,Refrigerated,1,17.76,55.82,9,21.02,4.16,10.47,Low
590,Refrigerated,1,16.97,53.85,8,29.07,1.99,8.73,Moderate
595,Fresh,1,28.17,75.56,1,36.67,4.15,8.15,High
556,Fresh,1,19.84,79.9,8,47.33,4.89,12.24,Moderate
495,Fresh,1,20.47,96.22,3,18.91,2.95,14.36,Moderate
563,Refrigerated,1,18.07,84.54,1,28.9,3.53,14.2,Moderate
471,Refrigerated,1,15.77,15.88,2,8.12,2.96,11.79,High
573,Refrigerated,1,18.88,40.95,4,25.89,3.21,10.66,Moderate
477,Refrigerated,1,27.41,78.09,3,7.62,1.69,14.23,High
510,Fresh,1,16.83,9.05,9,48.15,1.73,14.42,Low
459,Refrigerated,1,15.44,63.51,8,27.61,4.93,10.83,Moderate
578,Fresh,1,16.64,60.67,4,20.4,4.52,13.83,High
568,Refrigerated,1,18.11,33.74,9,10.81,1.08,11.9,Moderate
467,Refrigerated,1,30.46,96.85,10,18.36,1.09,8.85,Low
567,Refrigerated,1,34.84,30.91,4,46.76,4.23,12.15,High
598,Fresh,1,30.85,71.82,1,20.43,4.62,11.16,Low
561,Fresh,1,19.9,74.22,3,14.6,1.76,11.96,Moderate
530,Refrigerated,1,21.27,81.87,10,12.88,3.03,10.92,Low
511,Fresh,1,22.06,4.17,3,42.93,1.16,13.87,Moderate
454,Refrigerated,1,27.68,33.72,8,24.56,4.3,9.68,Low
499,Refrigerated,1,23.37,1.79,7,12,1.35,9.97,Low
465,Fresh,1,24.9,61.61,9,34.59,3.62,13.5,Moderate
586,Fresh,1,30.42,79.41,6,9.71,1.19,13.17,Moderate
527,Fresh,1,33.42,99.09,5,24.95,1.29,13.58,High
490,Fresh,1,33.23,76.08,5,27.87,2.82,12.12,Low
561,Fresh,1,16.52,24.42,8,46.68,3.78,14.54,Moderate
484,Refrigerated,1,24.05,24.54,9,7.74,2.93,11.19,Moderate
585,Fresh,1,25.6,86.95,5,28.76,1.63,11.43,Moderate
459,Refrigerated,1,34,85.11,8,21.08,3.57,12.53,High
493,Refrigerated,1,26.81,39.86,10,48.27,3.29,12.85,Low
521,Fresh,1,30.95,97.83,9,45.2,4.12,8.75,High
462,Refrigerated,1,18.69,52.74,9,32.09,1.41,14.05,Low
482,Fresh,1,25.91,83.26,7,43.22,3.15,8.67,High
464,Fresh,1,32.23,12.6,1,11.79,2.63,10,Low
529,Refrigerated,1,31.9,99.88,3,39.72,2.41,9.31,High
469,Fresh,1,15.54,26.62,5,47.12,2.58,14.87,Moderate
485,Refrigerated,1,33.03,49.87,3,42,3.35,9.03,Low
554,Refrigerated,1,21.11,50.49,2,45.35,3.54,12.63,Moderate
516,Fresh,1,28.67,94.94,6,30.54,4.23,13.02,Moderate
496,Fresh,1,26.44,74.69,5,20.16,3.51,10.95,High
505,Refrigerated,1,30.49,47.74,8,26.23,1.32,9.4,Low
510,Refrigerated,1,21.48,33.77,7,27.56,1.49,8.66,Low
525,Refrigerated,1,23.02,28.32,9,39.95,3.98,11.25,Moderate
465,Fresh,1,23.3,46.63,4,23.54,2.96,12.32,Moderate
584,Fresh,1,31.97,98.41,4,9.54,2.54,14.63,Low
483,Refrigerated,1,16.09,38.25,4,25.7,4.93,12.69,Low
498,Fresh,1,15.52,85.42,9,36.77,2.32,8.01,Low
502,Fresh,1,22.25,73.3,10,45.15,3.45,9.03,Moderate
547,Fresh,1,27.02,24.65,1,32.75,4.88,14.14,Low
558,Refrigerated,1,28.7,59.44,2,26.55,4.72,12.77,Low
451,Fresh,1,28.81,4.61,10,28.66,4.23,11.16,High
454,Fresh,1,21.97,52.75,4,43.77,2.31,12.27,Low
566,Fresh,1,19.1,28.2,2,26.73,3.92,9.17,Low
454,Refrigerated,1,17.77,35.44,3,32.6,3.55,12.81,High
499,Fresh,1,15.6,81.57,1,44.2,1.2,8.31,High
494,Refrigerated,1,20.51,26.49,6,14.86,1.39,13.21,Low
551,Fresh,1,34.26,96.96,5,44.48,4.67,13.07,Low
572,Refrigerated,1,19.93,71.38,7,30.74,1.49,9.13,Moderate
567,Refrigerated,1,17.58,26.99,3,31.05,1.19,8.41,High
574,Refrigerated,1,26.04,54.71,8,30.41,1.13,12.92,Moderate
550,Refrigerated,1,31.32,74.88,9,35.53,1.55,14.81,Low
473,Refrigerated,1,26.44,66.65,4,45.01,4.34,9.16,Moderate
544,Refrigerated,1,16.77,75.74,9,42.27,2.83,14.46,High
475,Fresh,1,16.42,15.64,1,42.42,4.9,12.69,High
594,Refrigerated,1,26.72,45.16,2,47.86,1.59,10.69,Moderate
538,Fresh,1,25.42,46.48,3,21.87,1.18,11.6,Moderate
572,Fresh,1,34.52,83.38,3,27.81,3.58,11.81,High
534,Refrigerated,1,24.45,31.83,5,14.1,3.95,8.11,High
589,Fresh,1,31.66,4.56,10,14.28,1.22,8.7,Moderate
530,Fresh,1,16.12,63.52,5,5.94,2.19,13.33,Low
464,Fresh,1,19.45,69.82,3,23.63,3.85,12.71,Moderate
505,Refrigerated,1,32.68,70.7,2,40.32,4.34,11.39,Moderate
539,Refrigerated,1,31.71,0.45,1,33.62,1.54,9.1,Moderate
599,Fresh,1,26.58,51.94,7,23.99,1.48,13.97,Moderate
565,Fresh,1,17.66,4.65,7,13.27,4.44,11.84,Low
547,Fresh,1,34.24,13.16,7,7.19,3.32,11.38,Low
503,Fresh,1,18.83,71.64,5,19.7,3.92,11.78,Low
526,Fresh,1,30.22,52.47,2,18.53,4.16,14.75,Low
470,Refrigerated,1,16.25,10.48,7,32.11,3.43,11.76,Moderate
464,Fresh,1,32.81,61.42,2,38.97,2.01,10.9,Moderate
545,Refrigerated,1,22.37,77.03,9,39.9,3.59,14.89,Moderate
478,Refrigerated,1,21.05,2.18,5,15.25,4.35,10.56,Low
496,Refrigerated,1,32.6,4.23,7,31.29,3.76,10.31,High
471,Fresh,1,31.37,85.15,5,27.55,5,14.43,Moderate
528,Fresh,1,30.53,92.48,6,9.28,1.82,10.9,Moderate
532,Fresh,1,19.74,37.63,1,33.39,4.26,9.28,High
484,Refrigerated,1,25.15,56.63,1,13.08,3.93,13.2,High
532,Fresh,1,26.52,21.61,9,17.03,3.86,9.87,Moderate
548,Fresh,1,26.12,55.44,2,43.11,2.93,12.69,Moderate
472,Fresh,1,24.91,7.51,2,14.92,2.4,8.42,Moderate
454,Fresh,1,30.63,76.66,7,27.78,4.21,12.63,Low
482,Fresh,1,25.14,22.08,10,38.42,3.96,12.13,Low
526,Fresh,1,22.24,91.8,6,47.66,4.48,12.87,High
451,Fresh,1,28.65,25.41,2,46.28,4.35,13.69,Low
568,Fresh,1,34.53,43.7,7,42.52,3.88,14.65,Low
511,Fresh,1,34.25,98.17,9,24.42,1.24,8.84,Low
589,Refrigerated,1,20.89,17.6,2,43.13,1.18,8.09,Moderate
590,Refrigerated,1,27.27,59.33,10,16.18,4.61,10.68,Low
511,Fresh,1,19.92,16.29,5,28.44,2.87,8.42,High
531,Refrigerated,1,19.93,77.27,6,47.89,2.08,10.32,Moderate
574,Refrigerated,1,19.9,82.15,4,46,4.51,10.47,High
496,Refrigerated,1,27.88,42.56,5,38.82,2.56,12.12,High
495,Refrigerated,1,31.77,86.11,8,13.89,4.8,10.35,Moderate
590,Fresh,1,21.85,18.37,5,31.51,4.78,11.09,Low
503,Fresh,1,22,3.44,1,25.13,4.38,8.69,Low
523,Fresh,1,29.08,33.47,1,15.84,3.76,12.55,Moderate
540,Refrigerated,1,33.32,24.43,2,38.62,1.56,11.34,High
511,Fresh,1,23.7,92.43,10,23.67,1.44,8.66,Moderate
565,Fresh,1,34.81,29.41,2,17.68,1.47,8.91,Low
527,Refrigerated,1,15.62,43.14,7,14.11,2.18,9.63,Low
598,Fresh,1,33.77,82.76,5,21.96,4.18,10.2,Low
474,Fresh,1,23.47,0.18,2,22.39,1.81,8.49,Low
581,Fresh,1,28.03,59.34,4,8.37,3.55,13.87,Low
512,Fresh,1,15.88,98.82,8,31.61,4.25,12.34,Low
473,Fresh,1,22.01,13.97,6,44.12,2.36,13.7,Low
566,Fresh,1,28.62,91.6,5,11.55,3.24,10.03,Moderate
558,Fresh,1,23.63,59.8,10,38.21,4.32,11.78,Moderate
482,Fresh,1,15,79.2,5,15.96,4.84,11.61,Low
495,Fresh,1,27.28,88.52,5,6.74,1.66,13.01,High
472,Refrigerated,1,29.27,68.24,8,20.9,1.69,9.14,Moderate
525,Fresh,1,34.17,26.68,4,42.09,4.09,8.06,High
554,Refrigerated,1,34.18,4.74,10,13.57,3.44,8.51,Low
587,Fresh,1,33.07,35.41,4,30.37,2.56,10.85,Moderate
485,Refrigerated,1,29.06,89.09,1,17.62,3.83,12.64,Low
542,Fresh,1,30.35,54.55,3,5.2,4.61,14.15,Moderate
590,Fresh,1,29.27,99.08,1,10,2.28,13.79,High
544,Fresh,1,19.33,66.39,3,25.58,4.08,8.07,Moderate
552,Fresh,1,15.75,18.83,6,38.6,1.57,14.42,Moderate
506,Fresh,1,26.96,82.39,7,29.53,3.01,12.36,Low
465,Refrigerated,1,15.85,34.13,5,10.22,2.9,12.66,High
561,Refrigerated,1,21.7,87.25,3,7.35,2.67,9.91,Moderate
524,Fresh,1,32.62,0.81,3,7.93,1.84,13.36,High
503,Refrigerated,1,26.82,56.07,10,9.23,1.51,12.64,Low
556,Refrigerated,1,23.84,68.15,7,7.77,1.52,12.95,Low
576,Fresh,1,34.88,99.85,3,15.66,2.21,9.99,Low
495,Fresh,1,16.74,55.45,1,19.41,1.76,11.39,Low
595,Refrigerated,1,25.05,60.96,3,35.51,4.96,12.29,High
559,Fresh,1,24.08,91.47,2,42.57,4.79,11.53,Moderate
481,Fresh,1,33.94,8.18,10,32.87,2.81,8.63,Low
590,Refrigerated,1,24.62,87.39,9,16.56,3.68,12.74,Moderate
555,Fresh,1,16.18,28.47,8,18.92,3.57,11.01,High
484,Refrigerated,1,22.83,52.14,2,35.67,2.72,11.49,Moderate
577,Refrigerated,1,15.61,35.67,1,33.48,4.13,14.58,Moderate
559,Fresh,1,17.98,40.25,10,12.41,1.02,13.84,Moderate
550,Refrigerated,1,29.13,90.71,2,49.97,3.72,10.87,Moderate
493,Refrigerated,1,19.44,1.74,3,37.34,3.73,9.57,Moderate
507,Fresh,1,26.45,74.38,9,14.7,2.56,9.76,Low
558,Refrigerated,1,21.55,76.34,8,37.56,3.01,14.59,Moderate
549,Fresh,1,24.79,73.11,5,21.28,4.72,13.04,Low
584,Refrigerated,1,21.03,96,10,11.11,3.6,13.04,High
473,Refrigerated,1,24.17,80.86,8,30.34,4.43,10.13,Low
521,Refrigerated,1,15.51,27.46,6,44.38,3.17,11.34,Moderate
516,Refrigerated,1,16.18,90.03,9,11.11,2.94,13.08,Low
471,Fresh,1,22.94,46.79,6,6.81,2.72,11.68,Moderate
486,Refrigerated,1,31.45,60.48,1,5.41,1.27,9.54,Moderate
505,Fresh,1,24.24,57.35,10,41.9,3.67,11.37,Moderate
509,Refrigerated,1,22.77,75,7,48.18,3.89,12.29,High
531,Refrigerated,1,17.17,72.12,6,11.63,4.47,8.49,Moderate
577,Fresh,1,25.3,41.08,3,47.1,4.55,12.26,Low
587,Refrigerated,1,17.2,41,10,15.65,1.73,13.01,High
500,Refrigerated,1,32.36,9.34,10,19.1,3.28,14.32,Moderate
578,Fresh,1,21.78,93.64,7,42.81,3.57,12.78,High
511,Refrigerated,1,17.09,92.12,4,11.93,4.3,14.52,High
588,Refrigerated,1,26.7,69.83,9,28.02,1.39,8.99,Moderate
453,Fresh,1,31.31,5.32,3,31.96,4.12,10.48,Moderate
473,Fresh,1,15.78,84.82,7,43.91,2.67,14.08,Low
544,Refrigerated,1,21.59,30.73,6,32.75,2.29,14.27,Low
526,Fresh,1,18.57,96.4,7,28.84,2.18,9.24,Moderate
525,Refrigerated,1,27.23,94.32,2,16.71,4.92,14.94,Moderate
453,Fresh,1,23.08,89.92,10,43.69,4.38,10.9,Moderate
518,Refrigerated,1,27.68,8.33,6,23.33,1.21,10.67,High
498,Fresh,1,27.97,2.53,1,49.36,4.77,11.97,High
453,Refrigerated,1,29.16,71.79,4,7.62,1.47,14.28,Moderate
491,Fresh,1,16.68,72.34,2,6.31,4,11.48,Low
551,Refrigerated,1,29.2,39,4,47.15,1.99,9.28,Low
466,Fresh,1,31.64,93.32,10,14.32,2.19,13.98,Low
547,Refrigerated,1,15.59,7.77,2,22.92,2.29,9.91,High
598,Fresh,1,20.68,51.21,9,8.21,4.89,14.26,Low
505,Fresh,1,24.45,41.28,7,32.53,4.87,12.34,Moderate
501,Fresh,1,20.19,50.72,3,44.27,1.53,11.51,Low
455,Refrigerated,1,33.09,60.33,6,37.05,2.31,12.46,Low
562,Fresh,1,21.21,35.02,8,6.88,3.64,12.65,Low
523,Fresh,1,17.29,92.62,1,17.46,2.44,14.96,Moderate
545,Refrigerated,1,16.93,51.46,9,38.83,2.78,12.65,Low
546,Fresh,1,32.75,8.29,1,17.9,4.28,11.71,Low
596,Fresh,1,29.86,29.15,5,10.46,3.06,10.65,High
556,Refrigerated,1,15.49,65.77,1,38.71,1.74,10.32,Moderate
508,Fresh,1,24.28,34.97,7,31.5,1.08,11.41,Moderate
527,Fresh,1,18.35,29.88,7,18.22,4.46,13.23,Moderate
540,Fresh,1,22.84,46.25,5,22.63,3.76,9.89,Low
544,Refrigerated,1,16.62,26.94,4,46.94,3.05,9.3,Low
464,Refrigerated,1,20.12,27.55,7,21.66,1.13,10.05,Moderate
579,Fresh,1,24.21,87.71,8,6.13,1.49,14.75,High
497,Refrigerated,1,15.42,66.4,2,5.7,3.94,8.4,Low
486,Fresh,1,27.28,82.14,2,45.2,3.97,13.2,Low
560,Fresh,1,23.49,4.74,7,39.59,3.83,9.12,Low
573,Fresh,1,27.4,60.58,6,19.63,3.83,12.02,Low
533,Fresh,1,24.39,58.06,1,46.81,3.29,8.77,Moderate
547,Refrigerated,1,32.64,98.64,1,24.09,1.46,12.84,Moderate
520,Fresh,1,19.45,28.65,1,32.48,4.83,8.66,Moderate
520,Refrigerated,1,25.94,49.85,10,26.46,2.32,14.13,Low
451,Refrigerated,1,26.38,26.35,9,16.04,3.67,12.95,Moderate
511,Refrigerated,1,21.97,44.03,8,21.71,4,13.28,Low
465,Fresh,1,34.6,3.65,3,26.14,3.45,12.43,Low
536,Fresh,1,18.15,26.71,9,43.19,2.75,13.94,High
584,Fresh,1,31.37,10,8,34.97,3.09,11.67,High
463,Refrigerated,1,15.09,78.22,8,24.19,4.49,10.1,Moderate
513,Refrigerated,1,19.56,29.73,5,31.77,2.22,12.81,High
571,Refrigerated,1,32.3,39.86,2,33.19,2.54,12.32,Moderate
489,Fresh,1,29.9,28.52,6,38.34,3.7,10.25,Low
465,Refrigerated,1,22.28,99.51,10,19.17,4.12,14.89,Moderate
563,Refrigerated,1,23.87,85.17,9,13.12,1.27,14.34,Low
522,Fresh,1,25.88,99.46,1,30.35,2.49,8.28,Moderate
